,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,wine_type
13215,Cuvée Essentiel Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,1016,42.99,N.V.,espumoso
13216,Gold White N.V.,Italy,Oltrepò Pavese,Bottega,3.7,1016,22.5,N.V.,espumoso
13217,Roös Brut N.V.,Italy,Veneto,Foss Marai,3.8,1020,14.0,N.V.,espumoso
13218,Cuvée de Reserve Brut Champagne N.V.,France,Champagne,Gallimard Père & Fils,4.1,1023,55.0,N.V.,espumoso
13219,Blanc de Blancs Reserva N.V.,Spain,Cava,Anna de Codorniu,3.7,1033,16.32,N.V.,espumoso
13220,Rosé Brut Champagne (Vintage) 2011,France,Champagne,Louis Roederer,4.3,1033,62.9,2011,espumoso
13221,Surfine Cuvée Brut N.V.,Italy,Veneto,Foss Marai,3.7,1034,12.7,N.V.,espumoso
13222,Brut Rosé N.V.,Austria,Niederösterreich,Weingut Bründlmayer,4.0,1034,23.66,N.V.,espumoso
13223,Brut Classique N.V.,South Africa,Stellenbosch,L'Ormarins,3.8,1035,17.49,N.V.,espumoso
13224,Casa di Malia Prosecco (Organic) N.V.,Italy,Prosecco,Botter,3.8,1041,9.71,N.V.,espumoso
13225,Blanc de Blancs Brut Champagne N.V.,France,Champagne,Bruno Paillard,4.3,1051,64.95,N.V.,espumoso
13226,Cava Brut Rosé N.V.,Spain,Cava,Castillo Perelada,3.5,1062,12.9,N.V.,espumoso
13227,Brut Millésimé Champagne 2006,France,Champagne,Laurent-Perrier,4.2,1074,54.0,2006,espumoso
13228,Brut Grand Millesimé Champagne 2006,France,Champagne,Gosset,4.2,1086,67.5,2006,espumoso
13229,Les Folies de la Marquetterie Champagne N.V.,France,Champagne,Taittinger,4.1,1087,64.27,N.V.,espumoso
13230,Filanda Rosé Brut Millesimato Riserva N.V.,Italy,Oltrepò Pavese,Bortolomiol,3.9,1114,14.88,N.V.,espumoso
13231,Pinot Noir Brut Nature Rosé Champagne N.V.,France,Champagne,Drappier,4.0,1115,36.79,N.V.,espumoso
13232,Blanc de Blancs N.V.,Italy,Franciacorta,Montenisa,3.8,1120,32.07,N.V.,espumoso
13233,Origine Brut Champagne N.V.,France,Champagne,Mandois,3.8,1125,28.45,N.V.,espumoso
